name,birth_date,death_date,period
Ulisse Aldrovandi,1522-09-11,1605-05-04,geologists
"Georges-Louis Leclerc,<br>Comte de Buffon",1707-09-07,1788-04-16,geologists
James Hutton,1726-06-03,1797-03-26,geologists
Abraham Gottlob Werner,1749-09-25,None,geologists
The Baron Cuvier,1769-08-23,1832-05-13,geologists
Mary Anning,1799-05-21,1847-03-09,geologists
William Buckland,1784-03-12,1856-08-14,geologists
Gideon Mantell,1790-02-03,1852-11-10,geologists
William Smith,1769-03-23,1839-08-28,geologists
George Bellas Greenough,1778-01-18,1855-04-02,geologists
Charles Lyell,1797-11-14,1875-02-22,geologists
Louis Agassiz,1807-05-28,1873-12-14,geologists
Giovanni Arduino,1714-10-16,1795-03-21,geologists
Johann Gottlob Lehmann,None,None,geologists
Alexander von Humboldt,1769-09-14,1859-05-06,geologists
Christian Leopold von Buch,1774-04-26,1853-03-04,geologists
William Conybeare,1787-06-07,1857-08-12,geologists
Adam Sedgwick,1785-03-22,1873-01-27,geologists
Roderick Murchison,1792-02-19,1871-10-22,geologists
